Player,Team,GP,W,L,MIN,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
James Harden,HOU,6,2,4,40.4,20,4.7,9.3,50,4.2,4.8,86.2,13.5,67.5,7.2,35.8,2.5,12.5,0.7,3.3,2.3,11.7
Kawhi Leonard,TOR,7,4,3,39.7,18.1,4.4,7.9,56.4,2.4,2.7,89.5,11.3,62.2,7.3,40.2,2,11,0.9,4.7,1.1,6.3
Kyrie Irving,BOS,5,1,4,36.5,16.6,3.6,7.4,48.6,1.6,1.8,88.9,8.8,53,6.8,41,0.8,4.8,1.4,8.4,0.8,4.8
Giannis Antetokounmpo,MIL,5,4,1,34,15,4.2,6.8,61.8,4,5.2,76.9,12.4,82.7,4.6,30.7,2,13.3,1.2,8,2,13.3
CJ McCollum,POR,7,4,3,42,14.9,4.9,10.4,46.6,1.6,2,78.6,11.3,76,3.3,22.1,1.1,7.7,0.1,1,1,6.7
Damian Lillard,POR,7,4,3,41.3,14,3.7,5.7,65,1.9,2.4,76.5,9.3,66.3,5.4,38.8,1.7,12.2,0.9,6.1,1.1,8.2
Chris Paul,HOU,6,2,4,38.8,13.3,2.3,4.5,51.9,1.2,1.7,70,5.8,43.8,6.5,48.8,1.7,12.5,0.8,6.3,0.8,6.3
Jimmy Butler,PHI,7,3,4,37.7,13.3,3.1,5.6,56.4,2.1,2.4,88.2,8.4,63.4,5.9,44.1,1.1,8.6,0.7,5.4,1,7.5
Jamal Murray,DEN,7,3,4,39.8,13,2.9,7.3,39.2,1.4,1.6,90.9,7.1,54.9,4,30.8,1.3,9.9,0.1,1.1,0.7,5.5
Ben Simmons,PHI,7,3,4,36.3,10,2,3.3,60.9,0.3,0.4,66.7,4.3,42.9,5.3,52.9,1.4,14.3,0.9,8.6,0.1,1.4
Eric Bledsoe,MIL,5,4,1,27.1,10,2.4,4.4,54.5,1.4,1.8,77.8,6.2,62,3.6,36,0.6,6,0.8,8,0.8,8
Kevin Durant,GSW,5,3,2,42.5,10,2.6,6.4,40.6,2.6,2.6,100,7.8,78,1.6,16,0.8,8,0.6,6,1.2,12
Kyle Lowry,TOR,7,4,3,38.7,9.6,1.9,3.4,54.2,0.9,1,85.7,4.6,47.8,4.4,46.3,0.3,3,0.7,7.5,0.3,3
Stephen Curry,GSW,6,4,2,39.3,9,3.2,5,63.3,1.2,1.2,100,7.5,83.3,3.2,35.2,0.8,9.3,0.2,1.9,0.5,5.6
Tobias Harris,PHI,7,3,4,38.1,8.6,2,4,50,0.9,1.1,75,4.9,56.7,3.6,41.7,0.4,5,0.3,3.3,0.6,6.7
Eric Gordon,HOU,6,2,4,38.9,8.5,1.8,3.5,52.4,1,1.2,85.7,4.5,52.9,3.3,39.2,0.5,5.9,0.8,9.8,0.5,5.9
